observation_date,CPALTT01USQ657N
1955-04-01,0.00000000000000000
1955-07-01,0.49937578027465002
1955-10-01,0.12422360248447691
1956-01-01,-0.24813895781637399
1956-04-01,0.87064676616915004
1956-07-01,1.23304562268805018
1956-10-01,0.60901339829474899
1957-01-01,0.60532687651333994
1957-04-01,1.08303249097470999
1957-07-01,1.07142857142856007
1957-10-01,0.23557126030623990
1958-01-01,1.05757931844887998
1958-04-01,0.81395348837210002
1958-07-01,0.11534025374855091
1958-10-01,0.00000000000000000
1959-01-01,0.00000000000000000
1959-04-01,0.34562211981566998
1959-07-01,0.68886337543054299
1959-10-01,0.57012542759408003
1960-01-01,-0.11337868480726000
1960-04-01,0.56753688989784201
1960-07-01,0.22573363431152099
1960-10-01,0.67567567567566689
1961-01-01,0.00000000000000000
1961-04-01,0.00000000000000000
1961-07-01,0.55928411633108399
1961-10-01,0.11123470522804590
1962-01-01,0.22222222222223001
1962-04-01,0.44345898004433998
1962-07-01,0.44150110375277601
1962-10-01,0.21978021978020601
1963-01-01,0.10964912280701100
1963-04-01,0.32858707557505001
1963-07-01,0.54585152838426698
1963-10-01,0.43431053203039599
1964-01-01,0.21621621621622389
1964-04-01,0.10787486515643301
1964-07-01,0.43103448275861500
1964-10-01,0.32188841201714691
1965-01-01,0.21390374331549500
1965-04-01,0.74706510138742399
1965-07-01,0.42372881355931702
1965-10-01,0.42194092827003699
1966-01-01,0.73529411764707597
1966-04-01,1.14702815432741989
1966-07-01,0.92783505154639601
1966-10-01,0.81716036772217582
1967-01-01,0.10131712259371189
1967-04-01,0.80971659919027406
1967-07-01,0.90361445783132921
1967-10-01,0.89552238805970485
1968-01-01,1.18343195266272994
1968-04-01,0.97465886939569002
1968-07-01,1.35135135135135998
1968-10-01,1.14285714285714990
1969-01-01,1.22410546139358023
1969-04-01,1.67441860465116976
1969-07-01,1.46386093321133992
1969-10-01,1.44274120829578023
1970-01-01,1.33333333333331994
1970-04-01,1.66666666666666985
1970-07-01,1.12165660051770000
1970-10-01,1.36518771331058009
1971-01-01,0.75757575757574414
1971-04-01,1.08604845446950993
1971-07-01,1.07438016528925995
1971-10-01,0.49059689288634700
1972-01-01,0.73230268510984808
1972-04-01,0.80775444264941687
1972-07-01,0.96153846153846600
1972-10-01,0.95238095238095599
1973-01-01,1.25786163522013994
1973-04-01,2.25155279503105987
1973-07-01,2.20197418375094989
1973-10-01,2.30312035661216985
1974-01-01,2.83224400871460968
1974-04-01,2.82485875706213996
1974-07-01,3.02197802197800991
1974-10-01,3.00000000000002975
1975-01-01,1.81229773462781996
1975-04-01,1.52574698029244016
1975-07-01,2.12899185973701011
1975-10-01,1.59411404046595995
1976-01-01,0.96560048280025279
1976-04-01,1.25523012552298985
1976-07-01,1.59386068476976983
1976-10-01,1.16211504938989996
1977-01-01,1.72314761631244995
1977-04-01,2.20214568040656999
